"DATE","DJU"
2013-01,"489,4"
2013-02,"338,2"
2013-03,"270,6"
2013-04,"200,1"
2013-05,"142,3"
2013-06,"12,2"
2013-07,"2,5"
2013-08,"2,4"
2013-09,"49,4"
2013-10,"142,9"
2013-11,"348,8"
2013-12,"402,1"
2014-01,"351,9"
2014-02,"476,8"
2014-03,"387,4"
2014-04,"110,6"
2014-05,"47,3"
2014-06,"11,5"
2014-07,0
2014-08,"8,6"
2014-09,"43,3"
2014-10,"172,1"
2014-11,"339,5"
2014-12,"396,8"
2015-01,"604,3"
2015-02,"351,8"
2015-03,"246,8"
2015-04,"218,8"
2015-05,"78,8"
2015-06,"8,8"
2015-07,"2,1"
2015-08,"10,3"
2015-09,"91,6"
2015-10,"163,1"
2015-11,"347,9"
2015-12,432
2016-01,"432,5"
2016-02,"350,4"
2016-03,"350,6"
2016-04,236
2016-05,"97,8"
2016-06,"16,9"
2016-07,7
2016-08,"7,3"
2016-09,"21,6"
2016-10,"231,8"
2016-11,"359,6"
2016-12,"512,9"
2017-01,"450,2"
2017-02,"443,2"
2017-03,"314,8"
2017-04,"193,8"
2017-05,"83,4"
2017-06,"25,6"
2017-07,6
2017-08,"4,2"
2017-09,"84,3"
2017-10,"232,2"
2017-11,272
2017-12,"331,7"
2018-01,"408,2"
2018-02,"327,5"
2018-03,"271,5"
2018-04,"149,8"
2018-05,"92,7"
2018-06,"7,9"
2018-07,8
2018-08,"28,9"
2018-09,"44,3"
2018-10,"113,8"
2018-11,"295,4"
2018-12,"421,3"
2019-01,"489,4"
2019-02,"472,3"
2019-03,"439,2"
2019-04,"208,7"
2019-05,"151,4"
2019-06,"35,5"
2019-07,0
2019-08,"6,8"
2019-09,"64,9"
2019-10,"157,3"
2019-11,"362,5"
2019-12,"440,5"
