NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
strasbourg_entzheim,2013-01-01,1.0,,6.6,8.9,3.8
strasbourg_entzheim,2013-01-02,0.0,,3.6,7.2,0.3
strasbourg_entzheim,2013-01-03,0.0,,3.2,6.1,-0.8
strasbourg_entzheim,2013-01-04,0.8,,7.1,8.7,5.2
strasbourg_entzheim,2013-01-05,0.0,,7.2,7.9,6.3
strasbourg_entzheim,2013-01-06,0.0,,6.7,8.4,6.0
strasbourg_entzheim,2013-01-07,0.0,,4.7,9.2,0.2
strasbourg_entzheim,2013-01-08,0.0,,3.4,3.8,2.2
strasbourg_entzheim,2013-01-09,0.4,,2.2,2.5,1.9
strasbourg_entzheim,2013-01-10,0.6,,2.9,4.2,1.3
strasbourg_entzheim,2013-01-11,0.2,,2.3,2.9,0.4
strasbourg_entzheim,2013-01-12,0.0,,0.5,1.0,-0.3
strasbourg_entzheim,2013-01-13,0.0,,-0.7,0.6,-1.5
strasbourg_entzheim,2013-01-14,0.0,,-0.7,1.3,-1.4
strasbourg_entzheim,2013-01-15,2.8,,-0.6,1.1,-2.6
strasbourg_entzheim,2013-01-16,0.2,,-2.4,0.6,-6.0
strasbourg_entzheim,2013-01-17,0.0,,-2.0,-1.3,-4.8
strasbourg_entzheim,2013-01-18,0.2,,-1.6,1.1,-2.2
strasbourg_entzheim,2013-01-19,4.0,,-1.9,-0.3,-4.1
strasbourg_entzheim,2013-01-20,3.2,,-1.5,-0.6,-2.4
strasbourg_entzheim,2013-01-21,0.0,,0.0,5.1,-1.1
strasbourg_entzheim,2013-01-22,0.0,,0.9,2.2,-0.4
strasbourg_entzheim,2013-01-23,0.0,,0.4,1.5,-0.6
strasbourg_entzheim,2013-01-24,0.0,,-1.6,-1.2,-2.3
strasbourg_entzheim,2013-01-25,0.0,,-1.6,-0.6,-3.1
strasbourg_entzheim,2013-01-26,0.0,,-1.7,1.3,-5.7
strasbourg_entzheim,2013-01-27,0.2,,1.6,4.1,-2.6
strasbourg_entzheim,2013-01-28,1.4,,4.1,8.2,0.4
strasbourg_entzheim,2013-01-29,1.0,,7.6,12.0,3.7
strasbourg_entzheim,2013-01-30,2.0,,12.1,15.6,8.4
strasbourg_entzheim,2013-01-31,4.0,,9.1,12.6,5.0
strasbourg_entzheim,2013-02-01,13.9,,8.2,10.4,6.4
strasbourg_entzheim,2013-02-02,1.6,,4.3,7.0,1.0
strasbourg_entzheim,2013-02-03,1.2,,3.3,7.5,0.8
strasbourg_entzheim,2013-02-04,1.6,,5.2,8.3,2.2
strasbourg_entzheim,2013-02-05,7.7,,4.9,9.2,0.6
strasbourg_entzheim,2013-02-06,0.8,,2.2,3.6,0.6
strasbourg_entzheim,2013-02-07,1.0,,1.8,4.2,-0.2
strasbourg_entzheim,2013-02-08,0.4,,1.1,3.6,-0.8
strasbourg_entzheim,2013-02-09,0.0,,-0.7,2.3,-2.4
strasbourg_entzheim,2013-02-10,1.6,,-1.8,0.9,-4.3
strasbourg_entzheim,2013-02-11,0.6,,-1.4,0.7,-3.6
strasbourg_entzheim,2013-02-12,0.0,,-1.2,1.0,-3.7
strasbourg_entzheim,2013-02-13,0.0,,-0.5,2.3,-2.0
strasbourg_entzheim,2013-02-14,2.8,,-3.3,-0.3,-8.7
strasbourg_entzheim,2013-02-15,1.0,,0.9,2.8,-1.5
strasbourg_entzheim,2013-02-16,0.0,,2.0,5.3,0.6
strasbourg_entzheim,2013-02-17,0.0,,1.3,4.7,-2.8
strasbourg_entzheim,2013-02-18,0.0,,2.4,7.9,-0.8
strasbourg_entzheim,2013-02-19,0.0,,0.9,5.9,-4.0
strasbourg_entzheim,2013-02-20,0.0,,2.0,4.7,0.9
strasbourg_entzheim,2013-02-21,0.0,,-0.4,1.5,-1.3
strasbourg_entzheim,2013-02-22,0.0,,-3.1,-0.2,-4.9
strasbourg_entzheim,2013-02-23,0.0,,-2.9,-0.8,-4.7
strasbourg_entzheim,2013-02-24,0.0,,-1.8,-0.1,-3.4
strasbourg_entzheim,2013-02-25,0.0,,-0.9,1.1,-2.5
strasbourg_entzheim,2013-02-26,3.0,,-0.3,3.1,-4.1
strasbourg_entzheim,2013-02-27,0.0,,2.6,3.6,1.1
strasbourg_entzheim,2013-02-28,0.0,,2.3,3.8,1.0
strasbourg_entzheim,2013-03-01,0.0,,2.5,3.0,2.1
strasbourg_entzheim,2013-03-02,0.0,,1.5,2.9,1.0
strasbourg_entzheim,2013-03-03,0.0,,0.7,7.5,-4.4
strasbourg_entzheim,2013-03-04,0.0,,2.6,11.6,-2.9
strasbourg_entzheim,2013-03-05,0.0,,3.6,11.7,-3.4
strasbourg_entzheim,2013-03-06,0.6,,6.2,13.5,-0.4
strasbourg_entzheim,2013-03-07,0.0,,9.8,15.6,5.4
strasbourg_entzheim,2013-03-08,0.6,,8.8,12.4,3.2
strasbourg_entzheim,2013-03-09,0.0,,11.3,16.0,6.9
strasbourg_entzheim,2013-03-10,6.6,,7.8,13.3,3.7
strasbourg_entzheim,2013-03-11,2.0,,2.8,2.8,2.0
strasbourg_entzheim,2013-03-12,2.0,,0.6,1.7,-0.4
strasbourg_entzheim,2013-03-13,0.0,,-1.9,-0.2,-2.6
strasbourg_entzheim,2013-03-14,0.0,,-1.5,3.4,-6.3
strasbourg_entzheim,2013-03-15,0.0,,-0.2,4.8,-3.5
strasbourg_entzheim,2013-03-16,0.0,,2.2,8.1,-5.0
strasbourg_entzheim,2013-03-17,6.4,,4.5,5.9,3.1
strasbourg_entzheim,2013-03-18,3.8,,4.9,7.4,3.8
strasbourg_entzheim,2013-03-19,0.2,,6.4,11.3,2.7
strasbourg_entzheim,2013-03-20,0.0,,5.5,10.9,1.6
strasbourg_entzheim,2013-03-21,0.0,,5.7,9.3,2.7
strasbourg_entzheim,2013-03-22,0.0,,5.7,12.9,-0.3
strasbourg_entzheim,2013-03-23,0.4,,3.0,4.6,0.8
strasbourg_entzheim,2013-03-24,0.0,,3.7,7.2,1.8
strasbourg_entzheim,2013-03-25,0.0,,0.9,2.7,-0.7
strasbourg_entzheim,2013-03-26,0.0,,0.6,2.8,-1.2
strasbourg_entzheim,2013-03-27,0.0,,0.7,3.8,-2.4
strasbourg_entzheim,2013-03-28,0.0,,1.8,5.5,-2.5
strasbourg_entzheim,2013-03-29,0.4,,3.4,9.5,-2.7
strasbourg_entzheim,2013-03-30,0.0,,3.6,7.2,-0.1
strasbourg_entzheim,2013-03-31,0.0,,3.2,5.3,1.2
strasbourg_entzheim,2013-04-01,0.0,,3.6,9.7,-1.5
strasbourg_entzheim,2013-04-02,0.0,,3.4,8.5,-1.8
strasbourg_entzheim,2013-04-03,0.0,,5.3,8.6,2.0
strasbourg_entzheim,2013-04-04,0.0,,6.2,13.3,-0.5
strasbourg_entzheim,2013-04-05,0.0,,4.5,9.7,0.6
strasbourg_entzheim,2013-04-06,0.0,,5.1,7.4,3.3
strasbourg_entzheim,2013-04-07,0.0,,6.1,11.2,2.8
strasbourg_entzheim,2013-04-08,0.0,,5.6,10.6,-0.5
strasbourg_entzheim,2013-04-09,5.2,,7.8,12.5,3.6
strasbourg_entzheim,2013-04-10,2.6,,10.1,14.3,7.0
strasbourg_entzheim,2013-04-11,9.9,,12.6,16.3,8.5
strasbourg_entzheim,2013-04-12,0.6,,11.8,18.2,9.2
strasbourg_entzheim,2013-04-13,0.0,,12.1,18.3,6.1
strasbourg_entzheim,2013-04-14,0.0,,17.1,25.2,10.4
strasbourg_entzheim,2013-04-15,0.2,,17.8,27.2,7.6
strasbourg_entzheim,2013-04-16,0.0,,18.3,23.5,12.8
strasbourg_entzheim,2013-04-17,0.0,,19.1,26.2,13.1
strasbourg_entzheim,2013-04-18,0.0,,17.5,25.1,12.3
strasbourg_entzheim,2013-04-19,0.0,,11.8,14.8,9.5
strasbourg_entzheim,2013-04-20,2.0,,9.1,9.7,8.4
strasbourg_entzheim,2013-04-21,0.0,,10.5,13.5,8.4
strasbourg_entzheim,2013-04-22,0.0,,12.1,17.1,9.3
strasbourg_entzheim,2013-04-23,0.0,,13.4,21.0,5.9
strasbourg_entzheim,2013-04-24,0.0,,15.5,24.3,5.8
strasbourg_entzheim,2013-04-25,0.0,,17.7,27.0,7.8
strasbourg_entzheim,2013-04-26,21.4,,14.4,19.6,9.8
strasbourg_entzheim,2013-04-27,15.7,,8.0,8.4,6.3
strasbourg_entzheim,2013-04-28,0.0,,8.4,11.1,5.8
strasbourg_entzheim,2013-04-29,0.2,,10.0,12.8,7.1
strasbourg_entzheim,2013-04-30,3.4,,10.8,13.6,9.8
strasbourg_entzheim,2013-05-01,0.2,,12.6,16.8,8.7
strasbourg_entzheim,2013-05-02,3.4,,14.2,20.3,9.8
strasbourg_entzheim,2013-05-03,7.5,,13.1,15.3,10.6
strasbourg_entzheim,2013-05-04,3.8,,12.4,16.7,10.6
strasbourg_entzheim,2013-05-05,0.0,,14.7,22.2,5.3
strasbourg_entzheim,2013-05-06,3.2,,18.2,23.3,8.9
strasbourg_entzheim,2013-05-07,1.4,,15.3,19.2,13.1
strasbourg_entzheim,2013-05-08,3.2,,16.8,24.1,8.5
strasbourg_entzheim,2013-05-09,6.5,,17.4,21.3,14.0
strasbourg_entzheim,2013-05-10,0.0,,14.4,19.1,12.1
strasbourg_entzheim,2013-05-11,1.4,,13.7,18.0,11.2
strasbourg_entzheim,2013-05-12,0.4,,11.8,16.1,8.9
strasbourg_entzheim,2013-05-13,0.2,,12.2,16.0,8.7
strasbourg_entzheim,2013-05-14,0.4,,14.8,21.1,11.3
strasbourg_entzheim,2013-05-15,1.2,,14.6,19.1,8.8
strasbourg_entzheim,2013-05-16,6.6,,12.8,15.2,10.4
strasbourg_entzheim,2013-05-17,2.0,,11.4,13.4,10.3
strasbourg_entzheim,2013-05-18,0.2,,15.1,22.1,7.7
strasbourg_entzheim,2013-05-19,3.2,,12.1,13.2,11.1
strasbourg_entzheim,2013-05-20,7.4,,10.9,12.9,9.8
strasbourg_entzheim,2013-05-21,4.8,,11.7,15.4,9.1
strasbourg_entzheim,2013-05-22,0.2,,10.6,13.8,9.6
strasbourg_entzheim,2013-05-23,1.2,,8.1,10.7,6.1
strasbourg_entzheim,2013-05-24,0.6,,7.7,11.6,4.8
strasbourg_entzheim,2013-05-25,0.2,,10.2,16.1,4.0
strasbourg_entzheim,2013-05-26,9.3,,8.7,10.5,8.2
strasbourg_entzheim,2013-05-27,0.2,,13.3,19.0,8.1
strasbourg_entzheim,2013-05-28,10.4,,14.4,23.6,6.9
strasbourg_entzheim,2013-05-29,2.8,,10.7,13.9,9.2
