ds,holiday
2016-01-01,Jour de l'an
2016-05-01,Fête du Travail
2016-05-08,Armistice 1945
2016-07-14,Fête nationale
2016-11-11,Armistice 1918
2016-03-28,Lundi de Pâques
2016-05-16,Lundi de Pentecôte
2016-05-05,Ascension
2016-08-15,Assomption
2016-11-01,Toussaint
2016-12-25,Noël
2017-01-01,Jour de l'an
2017-05-01,Fête du Travail
2017-05-08,Armistice 1945
2017-07-14,Fête nationale
2017-11-11,Armistice 1918
2017-04-17,Lundi de Pâques
2017-06-05,Lundi de Pentecôte
2017-05-25,Ascension
2017-08-15,Assomption
2017-11-01,Toussaint
2017-12-25,Noël
2018-01-01,Jour de l'an
2018-05-01,Fête du Travail
2018-05-08,Armistice 1945
2018-07-14,Fête nationale
2018-11-11,Armistice 1918
2018-04-02,Lundi de Pâques
2018-05-21,Lundi de Pentecôte
2018-05-10,Ascension
2018-08-15,Assomption
2018-11-01,Toussaint
2018-12-25,Noël
2019-01-01,Jour de l'an
2019-05-01,Fête du Travail
2019-05-08,Armistice 1945
2019-07-14,Fête nationale
2019-11-11,Armistice 1918
2019-04-22,Lundi de Pâques
2019-06-10,Lundi de Pentecôte
2019-05-30,Ascension
2019-08-15,Assomption
2019-11-01,Toussaint
2019-12-25,Noël
2020-01-01,Jour de l'an
2020-05-01,Fête du Travail
2020-05-08,Armistice 1945
2020-07-14,Fête nationale
2020-11-11,Armistice 1918
2020-04-13,Lundi de Pâques
2020-06-01,Lundi de Pentecôte
2020-05-21,Ascension
2020-08-15,Assomption
2020-11-01,Toussaint
2020-12-25,Noël
2012-01-01,Jour de l'an
2012-05-01,Fête du Travail
2012-05-08,Armistice 1945
2012-07-14,Fête nationale
2012-11-11,Armistice 1918
2012-04-09,Lundi de Pâques
2012-05-28,Lundi de Pentecôte
2012-05-17,Ascension
2012-08-15,Assomption
2012-11-01,Toussaint
2012-12-25,Noël
2013-01-01,Jour de l'an
2013-05-01,Fête du Travail
2013-05-08,Armistice 1945
2013-07-14,Fête nationale
2013-11-11,Armistice 1918
2013-04-01,Lundi de Pâques
2013-05-20,Lundi de Pentecôte
2013-05-09,Ascension
2013-08-15,Assomption
2013-11-01,Toussaint
2013-12-25,Noël
2014-01-01,Jour de l'an
2014-05-01,Fête du Travail
2014-05-08,Armistice 1945
2014-07-14,Fête nationale
2014-11-11,Armistice 1918
2014-04-21,Lundi de Pâques
2014-06-09,Lundi de Pentecôte
2014-05-29,Ascension
2014-08-15,Assomption
2014-11-01,Toussaint
2014-12-25,Noël
2015-01-01,Jour de l'an
2015-05-01,Fête du Travail
2015-05-08,Armistice 1945
2015-07-14,Fête nationale
2015-11-11,Armistice 1918
2015-04-06,Lundi de Pâques
2015-05-25,Lundi de Pentecôte
2015-05-14,Ascension
2015-08-15,Assomption
2015-11-01,Toussaint
2015-12-25,Noël
